County,Population Total,15-19 Years Old,20-34 Years Old,35-59 Years Old,60-74 Years Old,75 Years Plus,Female Population,White Population,Black or African American Population,American Indian and Native Alaskan,Asian and Pacific Islander Population,Other Race,Hispanic or Latino Population,High School Graduate Only (Percent),College Degree (Percent),In civilian labor force,Median household income,Persons in poverty ,Total employment,Total Unemployment,Notes:
CLARION,41699,4243,10286,114005,5250,2490,21572,41487,200,66,210,36,116,11.7,34.7,18653.4,21602,38637,17258.2,1398.2,(1990 Population Census): https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4203100000.pdf
CLEARFIELD,78097,5773,16416,19022,11772,5347,40439,77609,176,87,182,43,200,8.6,11.7,37247.4,21773,76890,33942,3391.7,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4203300000.pdf
CLINTON,37182,3373,8216,10514,5578,2396,19367,36857,144,49,117,15,91,11.7,8.6,17514.5,22128,34977,15951.6,1556.4,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4203500000.pdf
COLUMBIA,63202,5789,15218,17666,8977,4106,33283,62588,268,38,228,80,341,12.5,11.7,32771.6,24211,59401,30405.1,2396.7,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4203700000.pdf
CRAWFORD,86169,6999,18090,25094,11791,5709,44336,84615,1027,112,272,98,303,11.8,12.5,41107,23083,83265,38335.1,2854.3,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4203900000.pdf
CUMBERLAND,195257,15474,47863,60889,24652,10801,100891,189037,3062,254,2495,409,1355,22.9,11.8,116624.5,34493,183915,112918.2,3871.9,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4204100000.pdf
DAUPHIN,237813,14670,57491,73226,31314,14210,124141,195881,35609,340,2770,3212,6024,18.6,22.9,136241.6,30985,233483,130688.8,5727,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4204300000.pdf
DELAWARE,547651,37152,133430,156438,79158,34374,286548,473741,61394,609,10002,1905,5998,24.8,18.6,278803.6,37337,529345,264539.2,14254.9,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4204500000.pdf
ELK,34878,2368,7449,10514,5247,2243,17743,34702,15,35,98,28,56,9.5,24.8,17698.5,24866,34489,16636.3,1120,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4204700000.pdf
ERIE,275572,22507,64717,77506,36036,14991,142601,257879,14304,438,1411,1540,3364,16.2,9.5,139741.1,26581,265434,131187.3,8780.8,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4204900000.pdf
FAYETTE,145351,10329,29345,42392,24009,10555,76271,139773,5116,139,219,104,452,9.3,16.2,57080.3,19195,143587,52072,5052.9,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4205100000.pdf
FOREST,4802,442,793,1464,914,381,2327,4731,43,11,3,14,23,7.9,9.3,1919.1,19170,4569,1720.3,204,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4205300000.pdf
FRANKLIN,121082,8980,27135,37177,16111,7312,62318,117072,2771,176,619,444,1065,12.4,7.9,64054.5,28806,118277,60861.8,3202.9,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4205500000.pdf
FULTON,13837,1049,3024,4218,1780,719,6975,13669,125,22,17,4,31,7.4,12.4,6650.4,23736,13712,6214.7,432.7,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4205700000.pdf
GREENE,39550,3254,8127,11493,5571,2827,20745,38948,377,69,112,44,209,11.3,7.4,15862.2,19903,38180,14308.2,1546,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4205900000.pdf
HUNTINGDON,44164,3515,10567,13353,5698,2653,21315,41994,1982,53,83,52,195,9.4,11.3,19405.7,23067,39796,17358.2,2061.1,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4206100000.pdf
INDIANA,89994,8738,23095,16049,11326,5162,46628,88033,1175,92,574,120,370,14.4,9.4,37852.3,22966,84079,34394.6,3371.4,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4206300000.pdf
JEFFERSON,46083,3297,9480,13198,6891,3482,23817,45891,49,49,70,24,98,8.9,14.4,21591.8,22063,45237,19949.4,1693.1,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4206500000.pdf
JUNIATA,20625,1416,4572,6170,2701,1308,10479,20529,27,18,41,10,49,7.3,8.9,10292.7,25359,20196,9400.7,905.6,(!990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4206700000.pdf
LACKAWANNA,219039,15134,46329,62013,37017,18763,116650,215634,1572,163,1364,306,1089,14.8,7.3,106746.8,24816,212576,99042.4,7741.1,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4206900000.pdf
LANCASTER,422822,30590,101664,121980,49371,24172,217540,397815,10038,484,4652,9833,15639,16.7,14.8,235339.6,33255,409034,226843.6,8652.1,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4207100000.pdf
LAWRENCE,96246,6748,19298,28027,16288,7132,50612,92896,2915,61,274,100,357,11.8,16.7,40835,22317,93589,37695.7,3116.1,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4207300000.pdf
LEBANON,113744,7890,25506,34474,15437,7359,58232,110904,706,93,917,1124,2666,11.8,11.8,64193.4,29469,110144,61478.6,2765.3,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4207500000.pdf
LEHIGH,291130,18002,93907,89019,40671,19016,151190,271674,6776,320,3661,8699,15001,19.6,19.6,154650.4,32455,283297,146371.4,8321.5,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4207700000.pdf
LUZERNE,328149,21960,69066,94881,56275,28040,172932,321906,3958,224,1488,573,2023,13.1,13.1,159147.4,23600,318090,146560.7,12690,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4207900000.pdf
LYCOMING,118710,8557,26466,35031,16280,7641,61445,115040,2816,219,469,166,641,12.3,12.3,57920.7,25552,115024,53761.6,4127.1,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4208100000.pdf
McKEAN,47131,3470,9855,11499,13754,6788,47131,46147,520,111,161,192,511,12.2,12.2,21451.4,23106,44728,19938.4,1516,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4208300000.pdf
MERCER,121003,9079,25589,35268,19044,8658,62345,114479,5882,115,393,134,506,13.6,13.6,56255.1,24599,115441,52494.5,3569.3,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4208500000.pdf
MIFFLIN,46197,3266,9871,13790,6625,3126,24066,45939,108,31,98,21,132,8.7,8.7,22486.8,22778,45515,20729.2,1755.8,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4208700000.pdf
MONROE,95709,6693,22553,28951,12473,4768,48612,92766,1727,130,666,420,2052,17.6,17.6,50446.4,32465,92238,46315.4,4192.7,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4208900000.pdf
MONTGOMERY,678111,39910,161041,211725,92820,43589,352112,620087,39124,752,15995,2153,8357,32.1,32.1,386910.5,43720,658635,370098.7,17030.8,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4209100000.pdf
MONTOUR,17735,1157,4057,5162,2371,1398,9427,17472,76,7,138,42,116,18.7,18.7,8772.1,27260,16610,8419.4,370.6,(1990 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4209300000.pdf
NORTHAMPTON,247105,17337,58106,73973,34609,14758,126915,232785,5269,209,2709,6133,11591,16.7,16.7,128058.5,32890,237782,121005.5,7115.5,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4209500000.pdf
NORTHUMBERLAND,96771,6328,19603,28386,15989,7952,50905,95997,326,79,180,189,532,8.6,8.6,44879.4,22124,95117,41444.1,3473.4,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4209700000.pdf
PERRY,41172,3039,9491,13073,4620,1738,20684,40916,95,50,69,42,194,8.9,8.9,23380.1,29539,40654,22311,1105.2,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4209900000.pdf
PHILADELPHIA,1585577,107408,412869,430016,212289,102539,847814,848586,631936,3454,43522,58079,89193,15.2,15.2,666158.3,24603,1545795,614777.4,50843.6,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4210100000.pdf
PIKE,27966,1503,5958,8303,4581,1519,14105,27420,256,48,133,109,651,14.7,14.7,16638.2,30314,27712,15703,1004.8,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4210300000.pdf
POTTER,16717,1199,3194,4930,2456,1151,8596,16629,20,29,31,8,72,9.8,9.8,8359.8,21377,16339,7768.2,637.8,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4210500000.pdf
SCHUYLKILL,152585,9960,31008,44017,27217,12773,79099,150987,842,111,496,149,677,8.1,8.1,69204.3,23028,149926,63486.4,5686.4,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4210700000.pdf
SNYDER,36680,3092,8884,10645,4416,1882,18771,36347,146,30,95,62,148,10.6,10.6,18781.4,25864,34402,17699.5,1106.7,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4210900000.pdf
SOMERSET,78218,5452,15986,23083,8113,5400,40490,77875,102,43,143,55,231,8.9,8.9,37159.8,21674,77010,34185,2997.1,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4211100000.pdf
SULLIVAN,6104,538,1171,1642,1036,609,3048,6001,59,30,9,5,25,8.6,8.6,2670.6,20107,5893,2493.6,201.9,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4211300000.pdf
SUSQUEHANNA,40380,2712,8405,12067,5432,2630,20451,40086,79,83,87,45,162,11.1,11.1,18859.2,24736,39928,17510.7,1393.2,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4211500000.pdf
TIOGA,41126,3638,8856,11977,5531,2575,21085,40648,227,108,106,37,139,12.6,12.6,19410.8,22571,39064,18128.1,1333.3,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4211700000.pdf
UNION,36176,3395,9188,10534,4040,2071,17495,34784,972,76,239,105,638,17.5,17.5,17949.8,27622,30847,17087.1,897.2,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4211900000.pdf
VENANGO,59381,4216,12031,18215,8578,3681,30607,58636,497,55,138,55,201,10.8,10.8,26043.4,22593,57617,24163.7,1905.5,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4212100000.pdf
WARREN,45050,2972,9151,13987,6430,3026,23105,44782,53,74,111,30,116,10.7,10.7,21835.3,26351,43659,20613.3,1218.6,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4212300000.pdf
WASHINGTON,204584,14521,42039,62647,21847,14165,106669,196810,6786,201,543,244,1186,13.6,13.6,94920.7,25469,199210,89059.2,5960.7,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4212500000.pdf
WAYNE,39944,2667,8201,11836,6022,2886,20141,39470,282,43,97,52,371,13.1,13.1,19166,24912,38786,17507.8,1629,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4212700000.pdf
WESTMORELAND,370321,23950,76663,115728,60241,24866,193178,361103,6930,262,1586,460,1359,15.4,15.4,180343.9,25736,363781,169049,11455.3,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4212900000.pdf
WYOMING,28076,2539,6040,8409,3289,1469,14211,27798,135,25,81,37,135,13.2,13.2,14883.1,27207,27180,13719.2,1190.3,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4213100000.pdf
YORK,339574,22905,80825,107021,41411,18457,173410,323339,10985,416,2103,2731,5165,13.9,13.9,192416,32605,333915,183681,8886.1,(1900 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census1990/DP4213300000.pdf
