County,Population Total,15-19 Years Old,20-34 Years Old,35-59 Years Old,60-74 Years Old,75 Years Plus,Female Population,White Population,Black or African American Population,American Indian and Native Alaskan,Asian or Pacific Islander Population,Some Other Race,Hispanic or Latino Population,High School Graduate Only (Percent),College Degree (Percent),In civilian labor force,Median household income ,Persons in poverty ,Total employment,Notes:,Notes:
CAMBRIA,143679,9681,24098,39158,22112,14388,72676,135206,5222,147,758,478,2006,46.3,18.9,68360,49226,651,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Cambria%20County.pdf,
CAMERON,5085,329,647,1857,931,567,2586,5042,28,33,20,4,19,50.7,14.6,2326,51563,5891,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Cameron%20County.pdf,
CARBON,65249,3759,10052,24406,10382,5534,33076,63227,1270,402,514,678,2145,46.6,15,31099,54548,23055,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Carbon%20County.pdf,
CENTRE,153990,16135,51399,42075,15976,8216,74227,139757,5491,727,9167,1387,3690,32,40.4,75038,64009,29286,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Centre%20County.pdf,
CHESTER,498886,36401,84757,184506,61591,29859,253725,434580,34958,2767,22334,14034,32503,23.7,48.8,264170,100663,5304,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Chester%20County.pdf,
CLARION,39988,3609,8211,12988,5838,3056,20621,39164,619,187,273,81,245,47.6,19.3,20607,50622,11435,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Clarion%20County.pdf,
CLEARFIELD,81642,5054,13855,30227,12472,6912,39516,78557,2107,313,594,834,1907,51.1,13.2,40775,46001,4537,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Clearfield%20County.pdf,
CLINTON,39238,3356,8050,12417,5618,3060,20007,38187,753,149,292,195,437,46.3,17.2,19181,48435,7780,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Clinton%20County.pdf,
COLUMBIA,67295,6355,13761,22135,9562,5319,35019,64882,1514,334,744,572,1349,45.7,21.2,36368,52742,12430,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Columbia%20County.pdf,
CRAWFORD,88765,6658,14605,30788,13722,6867,45432,86435,2064,486,594,247,823,45.3,19.6,42806,47637,13616,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Crawford%20County.pdf,
CUMBERLAND,235406,16888,45303,82017,33013,18206,119817,217802,9604,1208,8616,2750,6448,35.2,32.8,122421,73878,28662,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Cumberland%20County.pdf,
DAUPHIN,268100,18191,50886,95570,35040,17823,138481,201869,54153,2037,10312,8792,18795,35.1,28.2,134930,65789,50181,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Dauphin%20County.pdf,
DELAWARE,558979,44245,106050,193735,66991,42403,291130,413730,116695,3602,30078,7019,16537,32.1,35.5,277300,77764,3227,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Delaware%20County.pdf,
ELK,31946,1907,4356,12211,5063,3078,16074,31663,157,112,169,69,183,51.2,15.4,17053,52684,40165,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Elk%20County.pdf,
ERIE,280566,22305,55055,94962,36011,20397,142609,252928,23932,1721,4243,4050,9518,40.6,25.6,138388,55079,26217,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Erie%20County.pdf,
FAYETTE,136606,8382,22373,49819,21276,12380,69599,129173,7580,685,637,496,1049,49.7,13.9,65572,43756,605,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Fayette%20County.pdf,
FOREST,7716,498,1910,2745,1392,534,2552,5980,1405,40,19,319,418,50.5,9.2,2347,42701,10835,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Forest%20County.pdf,
FRANKLIN,149618,10140,25325,51152,21750,11747,76434,140182,6257,953,1885,3303,6438,43.3,19.1,79951,60308,1929,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Franklin%20County.pdf,
FULTON,14845,950,2310,5249,2494,1026,7374,14600,225,95,42,44,123,51.9,12.7,7773,53866,6262,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Fulton%20County.pdf,
GREENE,38686,2720,7186,14093,5564,2879,18757,36949,1398,260,176,277,465,47,17,19381,47996,4410,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Greene%20County.pdf,
HUNTINGDON,45913,3057,8514,16275,7113,3352,21635,42884,2610,173,271,428,727,51.4,14.3,22663,51185,15100,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Huntingdon%20County.pdf,
INDIANA,88880,8599,19290,28099,12368,6776,44680,85135,2826,417,988,417,947,43.4,23.3,47428,49532,5932,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Indiana%20County.pdf,
JEFFERSON,45200,3082,7160,15950,6904,4122,22899,44800,275,264,169,72,275,51.5,14.3,22829,46537,2010,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Jefferson%20County.pdf,
JUNIATA,24636,1598,4016,8493,3662,1961,12350,24072,233,120,135,335,623,52,12.2,12279,51303,26877,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Juniata%20County.pdf,
LACKAWANNA,214437,14865,39118,73267,31539,19915,111318,200261,7125,932,4514,5055,10682,38.1,25.7,105938,56695,43346,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Lackawanna%20County.pdf,
LANCASTER,519445,38100,96023,172564,66698,39540,265609,468961,24600,3056,12104,21660,44930,38.6,24.7,267237,65297,10644,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Lancaster%20County.pdf,
LAWRENCE,91108,6140,14416,31904,13851,9114,47199,86862,4514,402,581,290,931,44.6,19.4,43092,52416,9940,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Lawrence%20County.pdf,
LEBANON,133568,8731,22600,45916,19519,11358,68407,123454,3885,655,1998,5806,12410,44.1,19.8,72834,61666,36176,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Lebanon%20County.pdf,
LEHIGH,349497,24710,63522,122549,44671,26497,180185,284459,26269,2902,12756,33925,65615,33.4,28.1,176343,66333,38742,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Lehigh%20County.pdf,
LUZERNE,320918,22008,55666,112855,48030,30051,164089,295183,13250,1631,4260,11827,21491,39.5,21.4,159363,54504,15478,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Luzerne%20County.pdf,
LYCOMING,116111,8585,21516,40183,16384,9695,59272,109447,6541,727,976,569,1559,41.7,19.4,59931,51480,5940,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Lycoming%20County.pdf,
McKEAN,43450,3074,7522,15442,6309,3667,21291,42028,1185,269,289,84,757,48.9,15.6,20819,50956,13423,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/McKean%20County.pdf,
MERCER,116638,8724,18911,40189,17484,11238,59532,108560,7811,605,1042,484,1248,44,20.6,53677,53375,6175,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Mercer%20County.pdf,
MIFFLIN,46682,2907,7246,15977,7505,4136,23840,45992,518,164,300,206,534,50.2,11.9,22620,45523,14911,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Mifflin%20County.pdf,
MONROE,169842,14706,27482,64162,22456,9078,85986,134953,25002,1681,4728,8837,22288,37.2,23.2,81754,64657,41321,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Monroe%20County.pdf,
MONTGOMERY,799874,51581,140231,291950,103689,62235,411910,661998,77347,4225,57616,775,34233,24.9,46.2,419269,93299,1850,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Montgomery%20County.pdf,
MONTOUR,18267,1135,2982,6454,2786,1785,9483,17572,336,73,372,107,324,40.5,28.3,9296,58793,21894,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Montour%20County.pdf,
NORTHAMPTON,297735,21897,51875,106668,40490,23942,152349,262572,18278,1800,8929,13317,31179,35.2,27.2,151915,70395,12615,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Northampton%20County.pdf,
NORTHUMBERLAND,94528,5664,15929,33457,14843,8840,47333,91095,2392,462,501,1129,2253,51.3,14.3,46557,48632,3994,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Northumberland%20County.pdf,
PERRY,45969,3272,7480,17255,6687,2688,22912,45221,485,267,272,228,588,45.5,16.1,24282,58945,5226,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Perry%20County.pdf,
PHILADELPHIA,1526006,118297,392779,473990,167875,90545,806193,655021,686870,17495,109845,104644,187611,34.4,24.5,647411,45842,358527,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Philadelphia%20County.pdf,
PIKE,57369,4339,7504,21906,9462,3661,28683,51913,3875,602,830,1504,5173,36.2,22.9,27761,61729,2597,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Pike%20County.pdf,
POTTER,17457,1189,2462,6023,3116,1555,8733,17265,92,122,88,39,181,49.3,15.4,7765,45242,16758,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Potter%20County.pdf,
SCHUYLKILL,148289,8715,24735,54196,22469,13928,73114,141383,4652,614,1061,2143,4080,48.3,14.9,73003,52275,4104,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Schuylkill%20County.pdf,
SNYDER,39702,3280,7330,13275,5612,2858,20105,38783,550,178,286,246,657,45.8,16.6,19109,52093,9234,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Snyder%20County.pdf,
SOMERSET,77742,4548,12733,23194,12316,7316,37713,75054,2008,282,383,510,840,49.8,14.9,38973,48094,901,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Somerset%20County.pdf,
SULLIVAN,6428,502,877,2210,1374,724,3121,6206,174,57,26,8,92,49.5,15.6,3135,47936,5355,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Sullivan%20County.pdf,
SUSQUEHANNA,43356,2902,6218,15952,7595,3363,21561,42845,256,201,252,171,564,48,16.7,22130,49251,5937,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Susquehanna%20County.pdf,
TIOGA,41981,3339,7225,14165,6962,3356,21408,41271,491,293,280,123,437,43.8,19.4,20555,47157,4577,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Tioga%20County.pdf,
UNION,44947,3584,9969,15577,5679,3351,20236,39982,3633,341,772,985,2346,42.1,21.3,17504,54776,8666,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Union%20County.pdf,
VENANGO,54984,3600,8339,19939,8794,4765,28074,53979,896,298,323,148,478,49.7,15.9,26295,47249,4898,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Venango%20County.pdf,
WARREN,41815,2655,6123,15238,7040,3763,20988,41352,241,222,264,83,305,46.6,18.4,21780,51298,20781,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Warren%20County.pdf,
WASHINGTON,207820,13799,33252,75714,32009,18250,106785,198640,8767,1036,1889,855,2366,39.7,26.6,105421,62877,5558,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Washington%20County.pdf,
WAYNE,52822,3236,7758,19869,9708,4340,25118,50301,1881,286,409,579,1816,42.7,19.6,25644,52652,34713,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Wayne%20County.pdf,
WESTMORELAND,365169,23378,54319,135071,59014,35148,187447,352403,11473,1417,3626,1095,3179,39,26.2,186704,60229,2929,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Westmoreland%20County.pdf,
WYOMING,28276,2018,4575,10277,4587,1905,14142,27792,307,161,151,143,437,47.9,17.9,14218,53424,34438,,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/Wyoming%20County.pdf,
YORK,434972,29507,75206,159779,58443,28356,220409,392901,29371,2832,7409,11876,24397,41.2,22.5,223818,65976,"34,438",,(2010 Population Census) https://pasdc.hbg.psu.edu/sdc/pasdc_files/census2010/York%20County.pdf,
